Channel Code,Value,Date,Time,Status
SU,-2.21,25/12/26,00:00:03:97,Normal
SD,2.5,25/12/26,00:00:03:97,Normal
IU,-73.64,25/12/26,00:00:03:97,Normal
ID,-9.36,25/12/26,00:00:03:97,Normal
Tm,0.3,25/12/26,00:00:03:97,Normal
SU,-2.28,25/12/26,00:10:06:76,Normal
SD,1.91,25/12/26,00:10:06:76,Normal
IU,-73.06,25/12/26,00:10:06:76,Normal
ID,-8.9,25/12/26,00:10:06:76,Normal
Tm,0.2,25/12/26,00:10:06:76,Normal
SU,-2.21,25/12/26,00:20:08:54,Normal
SD,2.19,25/12/26,00:20:08:54,Normal
IU,-70.68,25/12/26,00:20:08:54,Normal
ID,-8.82,25/12/26,00:20:08:54,Normal
Tm,0.14,25/12/26,00:20:08:54,Normal
SU,-2.19,25/12/26,00:30:11:23,Normal
SD,2.38,25/12/26,00:30:11:23,Normal
IU,-68.56,25/12/26,00:30:11:23,Normal
ID,-8.44,25/12/26,00:30:11:23,Normal
Tm,0.12,25/12/26,00:30:11:23,Normal
SU,-2.15,25/12/26,00:40:13:03,Normal
SD,2.76,25/12/26,00:40:13:03,Normal
IU,-66.65,25/12/26,00:40:13:03,Normal
ID,-8.05,25/12/26,00:40:13:03,Normal
Tm,0.09,25/12/26,00:40:13:03,Normal
SU,-1.17,25/12/26,00:50:14:82,Normal
SD,2.26,25/12/26,00:50:14:82,Normal
IU,-62.31,25/12/26,00:50:14:82,Normal
ID,-8.01,25/12/26,00:50:14:82,Normal
Tm,0.08,25/12/26,00:50:14:82,Normal
SU,-1.22,25/12/26,01:00:17:50,Normal
SD,2.57,25/12/26,01:00:17:50,Normal
IU,-67.66,25/12/26,01:00:17:50,Normal
ID,-9.02,25/12/26,01:00:17:50,Normal
Tm,0.36,25/12/26,01:00:17:50,Normal
SU,-1.41,25/12/26,01:10:19:40,Normal
SD,2.92,25/12/26,01:10:19:40,Normal
IU,-71.15,25/12/26,01:10:19:40,Normal
ID,-9.89,25/12/26,01:10:19:40,Normal
Tm,0.67,25/12/26,01:10:19:40,Normal
SU,-2.42,25/12/26,01:20:22:00,Normal
SD,2.3,25/12/26,01:20:22:00,Normal
IU,-74.65,25/12/26,01:20:22:00,Normal
ID,-11.29,25/12/26,01:20:22:00,Normal
Tm,0.92,25/12/26,01:20:22:00,Normal
SU,-3.37,25/12/26,01:30:23:73,Normal
SD,1.67,25/12/26,01:30:23:73,Normal
IU,-74.23,25/12/26,01:30:23:73,Normal
ID,-11.68,25/12/26,01:30:23:73,Normal
Tm,0.61,25/12/26,01:30:23:73,Normal
SU,-2.12,25/12/26,01:40:26:25,Normal
SD,1.63,25/12/26,01:40:26:25,Normal
IU,-74.7,25/12/26,01:40:26:25,Normal
ID,-11.09,25/12/26,01:40:26:25,Normal
Tm,0.41,25/12/26,01:40:26:25,Normal
SU,-2.65,25/12/26,01:50:28:15,Normal
SD,2,25/12/26,01:50:28:15,Normal
IU,-76.08,25/12/26,01:50:28:15,Normal
ID,-11.48,25/12/26,01:50:28:15,Normal
Tm,0.45,25/12/26,01:50:28:15,Normal
SU,-3.09,25/12/26,02:00:30:72,Normal
SD,2.04,25/12/26,02:00:30:72,Normal
IU,-77.51,25/12/26,02:00:30:72,Normal
ID,-12.04,25/12/26,02:00:30:72,Normal
Tm,0.54,25/12/26,02:00:30:72,Normal
SU,-2.83,25/12/26,02:10:32:43,Normal
SD,2.29,25/12/26,02:10:32:43,Normal
IU,-76.61,25/12/26,02:10:32:43,Normal
ID,-11.66,25/12/26,02:10:32:43,Normal
Tm,0.32,25/12/26,02:10:32:43,Normal
SU,-3.48,25/12/26,02:20:34:39,Normal
SD,1.18,25/12/26,02:20:34:39,Normal
IU,-75.29,25/12/26,02:20:34:39,Normal
ID,-11.27,25/12/26,02:20:34:39,Normal
Tm,0.05,25/12/26,02:20:34:39,Normal
SU,-2.65,25/12/26,02:30:36:99,Normal
SD,2.26,25/12/26,02:30:36:99,Normal
IU,-73.17,25/12/26,02:30:36:99,Normal
ID,-10.81,25/12/26,02:30:36:99,Normal
Tm,-0.24,25/12/26,02:30:36:99,Normal
SU,-2.76,25/12/26,02:40:39:28,Normal
SD,2.5,25/12/26,02:40:39:28,Normal
IU,-71,25/12/26,02:40:39:28,Normal
ID,-9.58,25/12/26,02:40:39:28,Normal
Tm,-0.58,25/12/26,02:40:39:28,Normal
SU,-2.53,25/12/26,02:50:41:08,Normal
SD,2.3,25/12/26,02:50:41:08,Normal
IU,-68.77,25/12/26,02:50:41:08,Normal
ID,-9.28,25/12/26,02:50:41:08,Normal
