Channel Code,Value,Date,Time,Status
SU,-5.26,25/05/26,00:05:58:75,Normal
SD,0.67,25/05/26,00:05:58:75,Normal
IU,-66.65,25/05/26,00:05:58:75,Normal
ID,-3.08,25/05/26,00:05:58:75,Normal
Tm,21.61,25/05/26,00:05:58:75,Normal
SU,-6.66,25/05/26,00:15:58:51,Normal
SD,-0.3,25/05/26,00:15:58:51,Normal
IU,-67.45,25/05/26,00:15:58:51,Normal
ID,-2.07,25/05/26,00:15:58:51,Normal
Tm,20.74,25/05/26,00:15:58:51,Normal
SU,-5.72,25/05/26,00:25:59:07,Normal
SD,0.35,25/05/26,00:25:59:07,Normal
IU,-66.12,25/05/26,00:25:59:07,Normal
ID,-0.58,25/05/26,00:25:59:07,Normal
Tm,19.93,25/05/26,00:25:59:07,Normal
SU,-5.14,25/05/26,00:35:58:72,Normal
SD,1.12,25/05/26,00:35:58:72,Normal
IU,-66.23,25/05/26,00:35:58:72,Normal
ID,0,25/05/26,00:35:58:72,Normal
Tm,19.53,25/05/26,00:35:58:72,Normal
SU,-3.87,25/05/26,00:45:58:41,Normal
SD,2.16,25/05/26,00:45:58:41,Normal
IU,-62.15,25/05/26,00:45:58:41,Normal
ID,0.77,25/05/26,00:45:58:41,Normal
Tm,19.51,25/05/26,00:45:58:41,Normal
SU,-4.63,25/05/26,00:55:58:97,Normal
SD,1.65,25/05/26,00:55:58:97,Normal
IU,-64.9,25/05/26,00:55:58:97,Normal
ID,-0.02,25/05/26,00:55:58:97,Normal
Tm,19.48,25/05/26,00:55:58:97,Normal
SU,-4.7,25/05/26,01:05:58:66,Normal
SD,1.85,25/05/26,01:05:58:66,Normal
IU,-64.85,25/05/26,01:05:58:66,Normal
ID,0.48,25/05/26,01:05:58:66,Normal
Tm,19.31,25/05/26,01:05:58:66,Normal
SU,-4.42,25/05/26,01:15:58:34,Normal
SD,1.29,25/05/26,01:15:58:34,Normal
IU,-58.86,25/05/26,01:15:58:34,Normal
ID,0.89,25/05/26,01:15:58:34,Normal
Tm,19.09,25/05/26,01:15:58:34,Normal
SU,-3.83,25/05/26,01:25:58:90,Normal
SD,1.88,25/05/26,01:25:58:90,Normal
IU,-50.23,25/05/26,01:25:58:90,Normal
ID,3.72,25/05/26,01:25:58:90,Normal
Tm,18.84,25/05/26,01:25:58:90,Normal
SU,-4.49,25/05/26,01:35:58:64,Normal
SD,1.83,25/05/26,01:35:58:64,Normal
IU,-54.36,25/05/26,01:35:58:64,Normal
ID,3.66,25/05/26,01:35:58:64,Normal
Tm,18.61,25/05/26,01:35:58:64,Normal
SU,-4.98,25/05/26,01:45:58:38,Normal
SD,2.07,25/05/26,01:45:58:38,Normal
IU,-55.42,25/05/26,01:45:58:38,Normal
ID,4.37,25/05/26,01:45:58:38,Normal
Tm,18.31,25/05/26,01:45:58:38,Normal
SU,-5.28,25/05/26,01:55:58:99,Normal
SD,1.74,25/05/26,01:55:58:99,Normal
IU,-53.3,25/05/26,01:55:58:99,Normal
ID,5.58,25/05/26,01:55:58:99,Normal
Tm,17.85,25/05/26,01:55:58:99,Normal
SU,-3.23,25/05/26,02:05:58:75,Normal
SD,3.33,25/05/26,02:05:58:75,Normal
IU,-51.13,25/05/26,02:05:58:75,Normal
ID,6.72,25/05/26,02:05:58:75,Normal
Tm,17.71,25/05/26,02:05:58:75,Normal
SU,-3.34,25/05/26,02:15:59:41,Normal
SD,3.07,25/05/26,02:15:59:41,Normal
IU,-50.17,25/05/26,02:15:59:41,Normal
ID,6.34,25/05/26,02:15:59:41,Normal
Tm,17.75,25/05/26,02:15:59:41,Normal
SU,-3.48,25/05/26,02:25:59:24,Normal
SD,2.66,25/05/26,02:25:59:24,Normal
IU,-51.34,25/05/26,02:25:59:24,Normal
ID,5.98,25/05/26,02:25:59:24,Normal
Tm,17.72,25/05/26,02:25:59:24,Normal
SU,-3.32,25/05/26,02:35:59:07,Normal
SD,3.09,25/05/26,02:35:59:07,Normal
IU,-52.51,25/05/26,02:35:59:07,Normal
ID,5.54,25/05/26,02:35:59:07,Normal
Tm,17.72,25/05/26,02:35:59:07,Normal
SU,-2.58,25/05/26,02:45:59:75,Normal
SD,3.25,25/05/26,02:45:59:75,Normal
IU,-55.84,25/05/26,02:45:59:75,Normal
ID,3.28,25/05/26,02:45:59:75,Normal
Tm,18.05,25/05/26,02:45:59:75,Normal
SU,-3.51,25/05/26,02:55:59:56,Normal
SD,2.16,25/05/26,02:55:59:56,Normal
IU,-61.04,25/05/26,02:55:59:56,Normal
ID,0.75,25/05/26,02:55:59:56,Normal
Tm,18.25,25/05/26,02:55:59:56,Normal
SU,-4.68,25/05/26,03:05:59:43,Normal
SD,1.39,25/05/26,03:05:59:43,Normal
IU,-64.96,25/05/26,03:05:59:43,Normal
ID,-0.54,25/05/26,03:05:59:43,Normal
Tm,18.18,25/05/26,03:05:59:43,Normal
SU,-5.1,25/05/26,03:16:00:20,Normal
SD,1.36,25/05/26,03:16:00:20,Normal
IU,-67.92,25/05/26,03:16:00:20,Normal
ID,-1.05,25/05/26,03:16:00:20,Normal
Tm,17.91,25/05/26,03:16:00:20,Normal
SU,-5.25,25/05/26,03:26:00:18,Normal
SD,1.32,25/05/26,03:26:00:18,Normal
IU,-70.47,25/05/26,03:26:00:18,Normal
ID,-1.57,25/05/26,03:26:00:18,Normal
Tm,17.68,25/05/26,03:26:00:18,Normal
SU,-5.79,25/05/26,03:36:00:15,Normal
SD,1.77,25/05/26,03:36:00:15,Normal
IU,-69.62,25/05/26,03:36:00:15,Normal
ID,-0.89,25/05/26,03:36:00:15,Normal
Tm,17.34,25/05/26,03:36:00:15,Normal
SU,-6.3,25/05/26,03:46:01:07,Normal
SD,1.62,25/05/26,03:46:01:07,Normal
IU,-69.46,25/05/26,03:46:01:07,Normal
ID,-0.02,25/05/26,03:46:01:07,Normal
Tm,16.81,25/05/26,03:46:01:07,Normal
SU,-5.42,25/05/26,03:56:01:13,Normal
SD,2.42,25/05/26,03:56:01:13,Normal
IU,-68.13,25/05/26,03:56:01:13,Normal
ID,0.81,25/05/26,03:56:01:13,Normal
Tm,16.44,25/05/26,03:56:01:13,Normal
SU,-5.1,25/05/26,04:06:01:27,Normal
SD,2.66,25/05/26,04:06:01:27,Normal
IU,-67.29,25/05/26,04:06:01:27,Normal
ID,1.23,25/05/26,04:06:01:27,Normal
Tm,16.24,25/05/26,04:06:01:27,Normal
SU,-4.96,25/05/26,04:16:02:33,Normal
SD,2.27,25/05/26,04:16:02:33,Normal
IU,-67.23,25/05/26,04:16:02:33,Normal
ID,0.77,25/05/26,04:16:02:33,Normal
Tm,16.24,25/05/26,04:16:02:33,Normal
SU,-4.22,25/05/26,04:26:02:52,Normal
SD,2.68,25/05/26,04:26:02:52,Normal
IU,-64.32,25/05/26,04:26:02:52,Normal
ID,2.28,25/05/26,04:26:02:52,Normal
Tm,15.81,25/05/26,04:26:02:52,Normal
SU,-2.38,25/05/26,04:36:03:61,Normal
SD,3.81,25/05/26,04:36:03:61,Normal
IU,-63.58,25/05/26,04:36:03:61,Normal
ID,2.78,25/05/26,04:36:03:61,Normal
Tm,15.73,25/05/26,04:36:03:61,Normal
SU,-2.4,25/05/26,04:36:18:02,Normal
SD,3.91,25/05/26,04:36:18:02,Normal
IU,-63.21,25/05/26,04:36:18:02,Normal
ID,2.56,25/05/26,04:36:18:02,Normal
Tm,15.73,25/05/26,04:36:18:02,Normal
SU,-3.76,25/05/26,04:46:13:93,Normal
SD,2.86,25/05/26,04:46:13:93,Normal
IU,-62.73,25/05/26,04:46:13:93,Normal
ID,2.88,25/05/26,04:46:13:93,Normal
Tm,15.46,25/05/26,04:46:13:93,Normal
SU,0.6,25/05/26,04:56:15:08,Normal
SD,4.22,25/05/26,04:56:15:08,Normal
IU,-61.99,25/05/26,04:56:15:08,Normal
ID,3.42,25/05/26,04:56:15:08,Normal
Tm,15.29,25/05/26,04:56:15:08,Normal
SU,11,25/05/26,05:06:15:59,Normal
SD,6.43,25/05/26,05:06:15:59,Normal
IU,-60.61,25/05/26,05:06:15:59,Normal
ID,4.37,25/05/26,05:06:15:59,Normal
Tm,15.33,25/05/26,05:06:15:59,Normal
SU,27.83,25/05/26,05:16:15:88,Normal
SD,10.2,25/05/26,05:16:15:88,Normal
IU,-57.96,25/05/26,05:16:15:88,Normal
ID,6.78,25/05/26,05:16:15:88,Normal
Tm,15.39,25/05/26,05:16:15:88,Normal
