Channel Code,Value,Date,Time,Status
SU,-2.37,25/05/16,00:05:56:09,Normal
SD,3.06,25/05/16,00:05:56:09,Normal
IU,-59.23,25/05/16,00:05:56:09,Normal
ID,-4.69,25/05/16,00:05:56:09,Normal
Tm,21.1,25/05/16,00:05:56:09,Normal
SU,-4.96,25/05/16,00:15:56:70,Normal
SD,1.71,25/05/16,00:15:56:70,Normal
IU,-73.64,25/05/16,00:15:56:70,Normal
ID,-9.54,25/05/16,00:15:56:70,Normal
Tm,21.2,25/05/16,00:15:56:70,Normal
SU,-5.19,25/05/16,00:25:56:38,Normal
SD,1.45,25/05/16,00:25:56:38,Normal
IU,-67.98,25/05/16,00:25:56:38,Normal
ID,-8.64,25/05/16,00:25:56:38,Normal
Tm,20.92,25/05/16,00:25:56:38,Normal
SU,-5.69,25/05/16,00:35:56:03,Normal
SD,1.51,25/05/16,00:35:56:03,Normal
IU,-74.44,25/05/16,00:35:56:03,Normal
ID,-8.9,25/05/16,00:35:56:03,Normal
Tm,20.53,25/05/16,00:35:56:03,Normal
SU,-5.72,25/05/16,00:45:56:55,Normal
SD,2.07,25/05/16,00:45:56:55,Normal
IU,-77.57,25/05/16,00:45:56:55,Normal
ID,-8.88,25/05/16,00:45:56:55,Normal
Tm,19.95,25/05/16,00:45:56:55,Normal
SU,-4.98,25/05/16,00:55:56:24,Normal
SD,1.6,25/05/16,00:55:56:24,Normal
IU,-74.12,25/05/16,00:55:56:24,Normal
ID,-7.71,25/05/16,00:55:56:24,Normal
Tm,19.44,25/05/16,00:55:56:24,Normal
SU,-3.6,25/05/16,01:05:55:93,Normal
SD,2.18,25/05/16,01:05:55:93,Normal
IU,-60.93,25/05/16,01:05:55:93,Normal
ID,-4.43,25/05/16,01:05:55:93,Normal
Tm,19.08,25/05/16,01:05:55:93,Normal
SU,-3.76,25/05/16,01:15:56:48,Normal
SD,2.13,25/05/16,01:15:56:48,Normal
IU,-73.22,25/05/16,01:15:56:48,Normal
ID,-6.76,25/05/16,01:15:56:48,Normal
Tm,19,25/05/16,01:15:56:48,Normal
SU,-3.28,25/05/16,01:25:56:16,Normal
SD,3.28,25/05/16,01:25:56:16,Normal
IU,-79.31,25/05/16,01:25:56:16,Normal
ID,-9.66,25/05/16,01:25:56:16,Normal
Tm,19.47,25/05/16,01:25:56:16,Normal
SU,-5.42,25/05/16,01:35:56:74,Normal
SD,1.3,25/05/16,01:35:56:74,Normal
IU,-75.5,25/05/16,01:35:56:74,Normal
ID,-10.89,25/05/16,01:35:56:74,Normal
Tm,19.66,25/05/16,01:35:56:74,Normal
SU,-3.2,25/05/16,01:45:56:46,Normal
SD,2.94,25/05/16,01:45:56:46,Normal
IU,-76.66,25/05/16,01:45:56:46,Normal
ID,-11.23,25/05/16,01:45:56:46,Normal
Tm,19.89,25/05/16,01:45:56:46,Normal
SU,-4.73,25/05/16,01:55:56:18,Normal
SD,2.06,25/05/16,01:55:56:18,Normal
IU,-81.12,25/05/16,01:55:56:18,Normal
ID,-12.2,25/05/16,01:55:56:18,Normal
Tm,19.64,25/05/16,01:55:56:18,Normal
SU,-6.64,25/05/16,02:05:56:77,Normal
SD,0.36,25/05/16,02:05:56:77,Normal
IU,-79.95,25/05/16,02:05:56:77,Normal
ID,-12.8,25/05/16,02:05:56:77,Normal
Tm,19.54,25/05/16,02:05:56:77,Normal
SU,-3.07,25/05/16,02:15:56:47,Normal
SD,3.06,25/05/16,02:15:56:47,Normal
IU,-78.57,25/05/16,02:15:56:47,Normal
ID,-11.76,25/05/16,02:15:56:47,Normal
Tm,19.6,25/05/16,02:15:56:47,Normal
SU,-2.98,25/05/16,02:25:56:21,Normal
SD,2.44,25/05/16,02:25:56:21,Normal
IU,-74.07,25/05/16,02:25:56:21,Normal
ID,-11.13,25/05/16,02:25:56:21,Normal
Tm,19.64,25/05/16,02:25:56:21,Normal
SU,-3.57,25/05/16,02:35:56:79,Normal
SD,1.7,25/05/16,02:35:56:79,Normal
IU,-66.55,25/05/16,02:35:56:79,Normal
ID,-9.28,25/05/16,02:35:56:79,Normal
Tm,19.4,25/05/16,02:35:56:79,Normal
SU,-4.4,25/05/16,02:45:56:52,Normal
SD,1.38,25/05/16,02:45:56:52,Normal
IU,-75.55,25/05/16,02:45:56:52,Normal
ID,-11.46,25/05/16,02:45:56:52,Normal
Tm,19.51,25/05/16,02:45:56:52,Normal
SU,-3.59,25/05/16,02:55:56:22,Normal
SD,2.66,25/05/16,02:55:56:22,Normal
IU,-77.57,25/05/16,02:55:56:22,Normal
ID,-12.91,25/05/16,02:55:56:22,Normal
Tm,19.85,25/05/16,02:55:56:22,Normal
SU,-4.96,25/05/16,03:05:56:81,Normal
SD,0.92,25/05/16,03:05:56:81,Normal
IU,-78.2,25/05/16,03:05:56:81,Normal
ID,-13.49,25/05/16,03:05:56:81,Normal
Tm,19.62,25/05/16,03:05:56:81,Normal
SU,-6.55,25/05/16,03:15:56:54,Normal
SD,0.3,25/05/16,03:15:56:54,Normal
IU,-74.44,25/05/16,03:15:56:54,Normal
ID,-12.28,25/05/16,03:15:56:54,Normal
Tm,19.36,25/05/16,03:15:56:54,Normal
SU,-4.08,25/05/16,03:25:56:28,Normal
SD,2.44,25/05/16,03:25:56:28,Normal
IU,-71.47,25/05/16,03:25:56:28,Normal
ID,-11.34,25/05/16,03:25:56:28,Normal
Tm,19.24,25/05/16,03:25:56:28,Normal
SU,-3.34,25/05/16,03:35:56:88,Normal
SD,2.76,25/05/16,03:35:56:88,Normal
IU,-77.25,25/05/16,03:35:56:88,Normal
ID,-13.41,25/05/16,03:35:56:88,Normal
Tm,19.65,25/05/16,03:35:56:88,Normal
SU,-5.6,25/05/16,03:45:56:59,Normal
SD,0.79,25/05/16,03:45:56:59,Normal
IU,-81.49,25/05/16,03:45:56:59,Normal
ID,-14.5,25/05/16,03:45:56:59,Normal
Tm,19.33,25/05/16,03:45:56:59,Normal
SU,-4.24,25/05/16,03:55:56:35,Normal
SD,2.07,25/05/16,03:55:56:35,Normal
IU,-84.56,25/05/16,03:55:56:35,Normal
ID,-16.23,25/05/16,03:55:56:35,Normal
Tm,19.79,25/05/16,03:55:56:35,Normal
SU,-3.97,25/05/16,03:56:11:33,Normal
SD,2.29,25/05/16,03:56:11:33,Normal
IU,-84.45,25/05/16,03:56:11:33,Normal
ID,-16.25,25/05/16,03:56:11:33,Normal
Tm,19.79,25/05/16,03:56:11:33,Normal
SU,-4.52,25/05/16,04:06:06:72,Normal
SD,1.89,25/05/16,04:06:06:72,Normal
IU,-87.63,25/05/16,04:06:06:72,Normal
ID,-18.54,25/05/16,04:06:06:72,Normal
Tm,20.32,25/05/16,04:06:06:72,Normal
SU,-5.25,25/05/16,04:16:07:30,Normal
SD,1.51,25/05/16,04:16:07:30,Normal
IU,-88.96,25/05/16,04:16:07:30,Normal
ID,-19.87,25/05/16,04:16:07:30,Normal
Tm,20.66,25/05/16,04:16:07:30,Normal
SU,-6.57,25/05/16,04:26:07:00,Normal
SD,0.26,25/05/16,04:26:07:00,Normal
IU,-90.12,25/05/16,04:26:07:00,Normal
ID,-20.07,25/05/16,04:26:07:00,Normal
Tm,20.47,25/05/16,04:26:07:00,Normal
SU,-7.96,25/05/16,04:36:06:72,Normal
SD,-0.42,25/05/16,04:36:06:72,Normal
IU,-86.47,25/05/16,04:36:06:72,Normal
ID,-18.2,25/05/16,04:36:06:72,Normal
Tm,19.54,25/05/16,04:36:06:72,Normal
SU,-4.72,25/05/16,04:46:07:33,Normal
SD,1.5,25/05/16,04:46:07:33,Normal
IU,-83.39,25/05/16,04:46:07:33,Normal
ID,-15.34,25/05/16,04:46:07:33,Normal
Tm,18.87,25/05/16,04:46:07:33,Normal
SU,-4.08,25/05/16,04:56:07:09,Normal
SD,0.97,25/05/16,04:56:07:09,Normal
IU,-79.42,25/05/16,04:56:07:09,Normal
ID,-13.27,25/05/16,04:56:07:09,Normal
Tm,18.05,25/05/16,04:56:07:09,Normal
SU,0.58,25/05/16,05:06:06:86,Normal
SD,3.18,25/05/16,05:06:06:86,Normal
IU,-78.84,25/05/16,05:06:06:86,Normal
ID,-12.08,25/05/16,05:06:06:86,Normal
Tm,17.77,25/05/16,05:06:06:86,Normal
SU,7.08,25/05/16,05:16:07:59,Normal
SD,4.65,25/05/16,05:16:07:59,Normal
IU,-74.02,25/05/16,05:16:07:59,Normal
ID,-9.95,25/05/16,05:16:07:59,Normal
Tm,17.41,25/05/16,05:16:07:59,Normal
SU,16.85,25/05/16,05:26:07:50,Normal
SD,7.16,25/05/16,05:26:07:50,Normal
IU,-75.5,25/05/16,05:26:07:50,Normal
ID,-10.49,25/05/16,05:26:07:50,Normal
Tm,17.62,25/05/16,05:26:07:50,Normal
SU,31.08,25/05/16,05:36:07:43,Normal
SD,11.16,25/05/16,05:36:07:43,Normal
IU,-74.6,25/05/16,05:36:07:43,Normal
ID,-8.82,25/05/16,05:36:07:43,Normal
Tm,17.52,25/05/16,05:36:07:43,Normal
SU,47.45,25/05/16,05:46:08:22,Normal
SD,14.62,25/05/16,05:46:08:22,Normal
IU,-73.43,25/05/16,05:46:08:22,Normal
ID,-7.51,25/05/16,05:46:08:22,Normal
Tm,17.76,25/05/16,05:46:08:22,Normal
SU,67.71,25/05/16,05:56:08:05,Normal
SD,19.48,25/05/16,05:56:08:05,Normal
IU,-73.38,25/05/16,05:56:08:05,Normal
ID,-6.89,25/05/16,05:56:08:05,Normal
Tm,18.17,25/05/16,05:56:08:05,Normal
SU,76.22,25/05/16,06:06:07:87,Normal
SD,21.78,25/05/16,06:06:07:87,Normal
IU,-70.41,25/05/16,06:06:07:87,Normal
ID,-5.25,25/05/16,06:06:07:87,Normal
Tm,18.93,25/05/16,06:06:07:87,Normal
SU,131.78,25/05/16,06:16:08:45,Normal
SD,35.59,25/05/16,06:16:08:45,Normal
IU,-70.84,25/05/16,06:16:08:45,Normal
ID,-3.58,25/05/16,06:16:08:45,Normal
Tm,19.6,25/05/16,06:16:08:45,Normal
SU,98.79,25/05/16,06:26:08:15,Normal
SD,26.29,25/05/16,06:26:08:15,Normal
IU,-59.76,25/05/16,06:26:08:15,Normal
ID,-1.89,25/05/16,06:26:08:15,Normal
Tm,20.39,25/05/16,06:26:08:15,Normal
SU,101.6,25/05/16,06:36:07:80,Normal
SD,26.7,25/05/16,06:36:07:80,Normal
IU,-69.3,25/05/16,06:36:07:80,Normal
ID,-6.36,25/05/16,06:36:07:80,Normal
Tm,20.9,25/05/16,06:36:07:80,Normal
SU,141.02,25/05/16,06:46:08:35,Normal
SD,54.1,25/05/16,06:46:08:35,Normal
IU,-82.7,25/05/16,06:46:08:35,Normal
ID,-4.79,25/05/16,06:46:08:35,Normal
Tm,21.66,25/05/16,06:46:08:35,Normal
SU,96.76,25/05/16,06:56:08:05,Normal
SD,25.3,25/05/16,06:56:08:05,Normal
IU,-90.07,25/05/16,06:56:08:05,Normal
ID,-12.2,25/05/16,06:56:08:05,Normal
Tm,21.91,25/05/16,06:56:08:05,Normal
SU,115.16,25/05/16,07:06:07:74,Normal
SD,29.53,25/05/16,07:06:07:74,Normal
IU,-85.94,25/05/16,07:06:07:74,Normal
ID,-10.01,25/05/16,07:06:07:74,Normal
Tm,21.98,25/05/16,07:06:07:74,Normal
SU,144.99,25/05/16,07:16:08:29,Normal
SD,37.15,25/05/16,07:16:08:29,Normal
IU,-82.86,25/05/16,07:16:08:29,Normal
ID,-9,25/05/16,07:16:08:29,Normal
Tm,21.57,25/05/16,07:16:08:29,Normal
SU,116.14,25/05/16,07:26:07:94,Normal
SD,27.97,25/05/16,07:26:07:94,Normal
IU,-94.1,25/05/16,07:26:07:94,Normal
ID,-7.11,25/05/16,07:26:07:94,Normal
Tm,22.53,25/05/16,07:26:07:94,Normal
SU,408.23,25/05/16,07:36:07:63,Normal
SD,110.85,25/05/16,07:36:07:63,Normal
IU,-93.2,25/05/16,07:36:07:63,Normal
ID,0.48,25/05/16,07:36:07:63,Normal
Tm,22.49,25/05/16,07:36:07:63,Normal
SU,476.66,25/05/16,07:46:08:18,Normal
SD,128.02,25/05/16,07:46:08:18,Normal
IU,-94.52,25/05/16,07:46:08:18,Normal
ID,8.62,25/05/16,07:46:08:18,Normal
Tm,23.9,25/05/16,07:46:08:18,Normal
SU,335.57,25/05/16,07:56:07:86,Normal
SD,88.19,25/05/16,07:56:07:86,Normal
IU,-84.56,25/05/16,07:56:07:86,Normal
ID,4.73,25/05/16,07:56:07:86,Normal
Tm,25.11,25/05/16,07:56:07:86,Normal
SU,278.7,25/05/16,08:06:07:50,Normal
SD,70.81,25/05/16,08:06:07:50,Normal
IU,-97.38,25/05/16,08:06:07:50,Normal
ID,-3.26,25/05/16,08:06:07:50,Normal
Tm,25.13,25/05/16,08:06:07:50,Normal
SU,268.9,25/05/16,08:16:08:04,Normal
SD,66,25/05/16,08:16:08:04,Normal
IU,-105.33,25/05/16,08:16:08:04,Normal
ID,-1.39,25/05/16,08:16:08:04,Normal
Tm,26.02,25/05/16,08:16:08:04,Normal
SU,617.75,25/05/16,08:26:07:73,Normal
SD,157.58,25/05/16,08:26:07:73,Normal
IU,-111.74,25/05/16,08:26:07:73,Normal
ID,16.03,25/05/16,08:26:07:73,Normal
Tm,27.61,25/05/16,08:26:07:73,Normal
SU,625.05,25/05/16,08:36:07:42,Normal
SD,158.07,25/05/16,08:36:07:42,Normal
IU,-118.52,25/05/16,08:36:07:42,Normal
ID,13.41,25/05/16,08:36:07:42,Normal
Tm,28.4,25/05/16,08:36:07:42,Normal
SU,715.84,25/05/16,08:46:07:97,Normal
SD,176.9,25/05/16,08:46:07:97,Normal
IU,-103.16,25/05/16,08:46:07:97,Normal
ID,28.81,25/05/16,08:46:07:97,Normal
Tm,28.43,25/05/16,08:46:07:97,Normal
SU,225.81,25/05/16,08:56:07:62,Normal
SD,53.63,25/05/16,08:56:07:62,Normal
IU,-111.95,25/05/16,08:56:07:62,Normal
ID,20.33,25/05/16,08:56:07:62,Normal
Tm,28,25/05/16,08:56:07:62,Normal
SU,735.28,25/05/16,09:06:07:31,Normal
SD,178.49,25/05/16,09:06:07:31,Normal
IU,-119.53,25/05/16,09:06:07:31,Normal
ID,31.81,25/05/16,09:06:07:31,Normal
Tm,28.99,25/05/16,09:06:07:31,Normal
SU,722.99,25/05/16,09:16:07:86,Normal
SD,172.18,25/05/16,09:16:07:86,Normal
