Channel Code,Value,Date,Time,Status
SU,-6.2,25/05/09,00:05:07:65,Normal
SD,1.01,25/05/09,00:05:07:65,Normal
IU,-94.25,25/05/09,00:05:07:65,Normal
ID,-17.05,25/05/09,00:05:07:65,Normal
Tm,16.57,25/05/09,00:05:07:65,Normal
SU,-5.58,25/05/09,00:15:07:97,Normal
SD,1.59,25/05/09,00:15:07:97,Normal
IU,-93.25,25/05/09,00:15:07:97,Normal
ID,-16.61,25/05/09,00:15:07:97,Normal
Tm,16.34,25/05/09,00:15:07:97,Normal
SU,-5.44,25/05/09,00:25:08:26,Normal
SD,1.88,25/05/09,00:25:08:26,Normal
IU,-91.18,25/05/09,00:25:08:26,Normal
ID,-15.12,25/05/09,00:25:08:26,Normal
Tm,15.79,25/05/09,00:25:08:26,Normal
SU,-4.52,25/05/09,00:35:09:51,Normal
SD,3.07,25/05/09,00:35:09:51,Normal
IU,-88.32,25/05/09,00:35:09:51,Normal
ID,-13.57,25/05/09,00:35:09:51,Normal
Tm,15.46,25/05/09,00:35:09:51,Normal
SU,-3.23,25/05/09,00:45:09:97,Normal
SD,3.8,25/05/09,00:45:09:97,Normal
IU,-91.39,25/05/09,00:45:09:97,Normal
ID,-14.98,25/05/09,00:45:09:97,Normal
Tm,15.84,25/05/09,00:45:09:97,Normal
SU,-5.49,25/05/09,00:55:10:42,Normal
SD,2.07,25/05/09,00:55:10:42,Normal
IU,-91.55,25/05/09,00:55:10:42,Normal
ID,-15.42,25/05/09,00:55:10:42,Normal
Tm,15.84,25/05/09,00:55:10:42,Normal
SU,-4.96,25/05/09,01:05:11:71,Normal
SD,1.91,25/05/09,01:05:11:71,Normal
IU,-91.98,25/05/09,01:05:11:71,Normal
ID,-16.31,25/05/09,01:05:11:71,Normal
Tm,15.86,25/05/09,01:05:11:71,Normal
SU,-5.28,25/05/09,01:15:12:12,Normal
SD,1.98,25/05/09,01:15:12:12,Normal
IU,-89.49,25/05/09,01:15:12:12,Normal
ID,-15.12,25/05/09,01:15:12:12,Normal
Tm,15.39,25/05/09,01:15:12:12,Normal
SU,-3.06,25/05/09,01:25:12:63,Normal
SD,3.35,25/05/09,01:25:12:63,Normal
IU,-88.74,25/05/09,01:25:12:63,Normal
ID,-14.6,25/05/09,01:25:12:63,Normal
Tm,15.24,25/05/09,01:25:12:63,Normal
SU,-2.9,25/05/09,01:35:14:04,Normal
SD,3.68,25/05/09,01:35:14:04,Normal
IU,-91.5,25/05/09,01:35:14:04,Normal
ID,-16.45,25/05/09,01:35:14:04,Normal
Tm,15.81,25/05/09,01:35:14:04,Normal
SU,-3.67,25/05/09,01:45:14:54,Normal
SD,3.06,25/05/09,01:45:14:54,Normal
IU,-90.65,25/05/09,01:45:14:54,Normal
ID,-16.41,25/05/09,01:45:14:54,Normal
Tm,15.7,25/05/09,01:45:14:54,Normal
SU,-4.57,25/05/09,01:55:15:00,Normal
SD,2.59,25/05/09,01:55:15:00,Normal
IU,-91.55,25/05/09,01:55:15:00,Normal
ID,-17.03,25/05/09,01:55:15:00,Normal
Tm,15.8,25/05/09,01:55:15:00,Normal
SU,-4.73,25/05/09,02:05:16:37,Normal
SD,2.68,25/05/09,02:05:16:37,Normal
IU,-91.55,25/05/09,02:05:16:37,Normal
ID,-17.68,25/05/09,02:05:16:37,Normal
Tm,15.81,25/05/09,02:05:16:37,Normal
SU,-3.67,25/05/09,02:15:16:91,Normal
SD,2.91,25/05/09,02:15:16:91,Normal
IU,-91.08,25/05/09,02:15:16:91,Normal
ID,-16.95,25/05/09,02:15:16:91,Normal
Tm,15.53,25/05/09,02:15:16:91,Normal
SU,-3.43,25/05/09,02:25:17:48,Normal
SD,3.09,25/05/09,02:25:17:48,Normal
IU,-92.35,25/05/09,02:25:17:48,Normal
ID,-18.18,25/05/09,02:25:17:48,Normal
Tm,15.79,25/05/09,02:25:17:48,Normal
SU,-4.7,25/05/09,02:35:18:89,Normal
SD,2.16,25/05/09,02:35:18:89,Normal
IU,-93.04,25/05/09,02:35:18:89,Normal
ID,-18.97,25/05/09,02:35:18:89,Normal
Tm,16.15,25/05/09,02:35:18:89,Normal
SU,-6.85,25/05/09,02:45:19:34,Normal
SD,0.71,25/05/09,02:45:19:34,Normal
IU,-90.81,25/05/09,02:45:19:34,Normal
ID,-18.22,25/05/09,02:45:19:34,Normal
Tm,15.54,25/05/09,02:45:19:34,Normal
SU,-3.81,25/05/09,02:55:19:87,Normal
SD,2.72,25/05/09,02:55:19:87,Normal
IU,-89.01,25/05/09,02:55:19:87,Normal
ID,-16.41,25/05/09,02:55:19:87,Normal
Tm,15.11,25/05/09,02:55:19:87,Normal
SU,-4.22,25/05/09,03:05:21:36,Normal
SD,2.48,25/05/09,03:05:21:36,Normal
IU,-89.96,25/05/09,03:05:21:36,Normal
ID,-17.29,25/05/09,03:05:21:36,Normal
Tm,15.32,25/05/09,03:05:21:36,Normal
SU,-4.38,25/05/09,03:05:35:93,Normal
SD,2.48,25/05/09,03:05:35:93,Normal
IU,-90.39,25/05/09,03:05:35:93,Normal
ID,-17.21,25/05/09,03:05:35:93,Normal
Tm,15.32,25/05/09,03:05:35:93,Normal
SU,-3.06,25/05/09,03:15:32:21,Normal
SD,3.47,25/05/09,03:15:32:21,Normal
IU,-91.82,25/05/09,03:15:32:21,Normal
ID,-18.04,25/05/09,03:15:32:21,Normal
Tm,15.7,25/05/09,03:15:32:21,Normal
SU,-3.9,25/05/09,03:25:33:66,Normal
SD,2.41,25/05/09,03:25:33:66,Normal
IU,-92.24,25/05/09,03:25:33:66,Normal
ID,-19.09,25/05/09,03:25:33:66,Normal
Tm,15.9,25/05/09,03:25:33:66,Normal
SU,-2.61,25/05/09,03:35:34:17,Normal
SD,3.03,25/05/09,03:35:34:17,Normal
IU,-93.41,25/05/09,03:35:34:17,Normal
ID,-19.93,25/05/09,03:35:34:17,Normal
Tm,16.11,25/05/09,03:35:34:17,Normal
SU,-4.84,25/05/09,03:45:34:66,Normal
SD,2.12,25/05/09,03:45:34:66,Normal
IU,-94.47,25/05/09,03:45:34:66,Normal
ID,-20.94,25/05/09,03:45:34:66,Normal
Tm,16.33,25/05/09,03:45:34:66,Normal
SU,-5.79,25/05/09,03:55:35:97,Normal
SD,1.15,25/05/09,03:55:35:97,Normal
IU,-92.98,25/05/09,03:55:35:97,Normal
ID,-20.68,25/05/09,03:55:35:97,Normal
Tm,15.92,25/05/09,03:55:35:97,Normal
SU,-5.92,25/05/09,04:05:36:45,Normal
SD,1.26,25/05/09,04:05:36:45,Normal
IU,-89.38,25/05/09,04:05:36:45,Normal
ID,-18.18,25/05/09,04:05:36:45,Normal
Tm,15.11,25/05/09,04:05:36:45,Normal
SU,-3.55,25/05/09,04:15:37:03,Normal
SD,2.39,25/05/09,04:15:37:03,Normal
IU,-87.42,25/05/09,04:15:37:03,Normal
ID,-17.19,25/05/09,04:15:37:03,Normal
Tm,14.79,25/05/09,04:15:37:03,Normal
SU,-5.42,25/05/09,04:25:38:58,Normal
SD,1.6,25/05/09,04:25:38:58,Normal
IU,-87.47,25/05/09,04:25:38:58,Normal
ID,-16.89,25/05/09,04:25:38:58,Normal
Tm,14.63,25/05/09,04:25:38:58,Normal
SU,-3.66,25/05/09,04:35:39:36,Normal
SD,2.88,25/05/09,04:35:39:36,Normal
IU,-87.53,25/05/09,04:35:39:36,Normal
ID,-16.93,25/05/09,04:35:39:36,Normal
Tm,14.71,25/05/09,04:35:39:36,Normal
SU,-3.83,25/05/09,04:45:40:20,Normal
SD,2.09,25/05/09,04:45:40:20,Normal
IU,-87.37,25/05/09,04:45:40:20,Normal
ID,-16.89,25/05/09,04:45:40:20,Normal
Tm,14.52,25/05/09,04:45:40:20,Normal
SU,-4.4,25/05/09,04:55:41:93,Normal
SD,2.54,25/05/09,04:55:41:93,Normal
IU,-86.47,25/05/09,04:55:41:93,Normal
ID,-16.59,25/05/09,04:55:41:93,Normal
Tm,14.32,25/05/09,04:55:41:93,Normal
SU,0.48,25/05/09,05:05:42:81,Normal
SD,4.24,25/05/09,05:05:42:81,Normal
IU,-85.72,25/05/09,05:05:42:81,Normal
ID,-15.66,25/05/09,05:05:42:81,Normal
Tm,14.13,25/05/09,05:05:42:81,Normal
SU,5.09,25/05/09,05:15:43:76,Normal
SD,4.89,25/05/09,05:15:43:76,Normal
IU,-86.25,25/05/09,05:15:43:76,Normal
ID,-16.23,25/05/09,05:15:43:76,Normal
Tm,14.31,25/05/09,05:15:43:76,Normal
SU,14.18,25/05/09,05:25:45:58,Normal
SD,7.57,25/05/09,05:25:45:58,Normal
IU,-87.05,25/05/09,05:25:45:58,Normal
ID,-16.81,25/05/09,05:25:45:58,Normal
Tm,14.52,25/05/09,05:25:45:58,Normal
SU,22.23,25/05/09,05:35:46:47,Normal
SD,9.7,25/05/09,05:35:46:47,Normal
IU,-88.85,25/05/09,05:35:46:47,Normal
ID,-17.17,25/05/09,05:35:46:47,Normal
Tm,14.93,25/05/09,05:35:46:47,Normal
SU,62.8,25/05/09,05:45:47:21,Normal
SD,13.05,25/05/09,05:45:47:21,Normal
IU,-89.91,25/05/09,05:45:47:21,Normal
ID,-17.03,25/05/09,05:45:47:21,Normal
Tm,14.97,25/05/09,05:45:47:21,Normal
SU,94.17,25/05/09,05:55:48:66,Normal
SD,22.96,25/05/09,05:55:48:66,Normal
IU,-92.67,25/05/09,05:55:48:66,Normal
ID,-16.57,25/05/09,05:55:48:66,Normal
Tm,15.73,25/05/09,05:55:48:66,Normal
SU,123.84,25/05/09,06:05:48:92,Normal
SD,30.41,25/05/09,06:05:48:92,Normal
IU,-97.06,25/05/09,06:05:48:92,Normal
ID,-17.42,25/05/09,06:05:48:92,Normal
Tm,16.87,25/05/09,06:05:48:92,Normal
SU,59.04,25/05/09,06:15:48:85,Normal
SD,38.83,25/05/09,06:15:48:85,Normal
IU,-103.47,25/05/09,06:15:48:85,Normal
ID,-18.64,25/05/09,06:15:48:85,Normal
Tm,18.02,25/05/09,06:15:48:85,Normal
SU,184.61,25/05/09,06:25:49:45,Normal
SD,49.82,25/05/09,06:25:49:45,Normal
IU,-106.71,25/05/09,06:25:49:45,Normal
ID,-18.44,25/05/09,06:25:49:45,Normal
Tm,18.93,25/05/09,06:25:49:45,Normal
SU,217.38,25/05/09,06:35:49:11,Normal
SD,61.46,25/05/09,06:35:49:11,Normal
IU,-112.11,25/05/09,06:35:49:11,Normal
ID,-19.25,25/05/09,06:35:49:11,Normal
Tm,20.1,25/05/09,06:35:49:11,Normal
SU,250.75,25/05/09,06:45:48:80,Normal
SD,76.67,25/05/09,06:45:48:80,Normal
IU,-117.51,25/05/09,06:45:48:80,Normal
ID,-19.61,25/05/09,06:45:48:80,Normal
Tm,21.44,25/05/09,06:45:48:80,Normal
SU,291.63,25/05/09,06:55:49:36,Normal
SD,91.11,25/05/09,06:55:49:36,Normal
IU,-122.12,25/05/09,06:55:49:36,Normal
ID,-19.61,25/05/09,06:55:49:36,Normal
Tm,22.72,25/05/09,06:55:49:36,Normal
SU,326.76,25/05/09,07:05:49:04,Normal
SD,101.59,25/05/09,07:05:49:04,Normal
IU,-126.36,25/05/09,07:05:49:04,Normal
ID,-20.15,25/05/09,07:05:49:04,Normal
Tm,23.76,25/05/09,07:05:49:04,Normal
SU,364.94,25/05/09,07:15:48:70,Normal
SD,111.23,25/05/09,07:15:48:70,Normal
IU,-128.48,25/05/09,07:15:48:70,Normal
ID,-18.62,25/05/09,07:15:48:70,Normal
Tm,24.31,25/05/09,07:15:48:70,Normal
SU,397.54,25/05/09,07:25:49:25,Normal
SD,120.95,25/05/09,07:25:49:25,Normal
IU,-131.66,25/05/09,07:25:49:25,Normal
ID,-16.57,25/05/09,07:25:49:25,Normal
Tm,25.02,25/05/09,07:25:49:25,Normal
SU,430.87,25/05/09,07:35:48:94,Normal
SD,134.2,25/05/09,07:35:48:94,Normal
IU,-130.6,25/05/09,07:35:48:94,Normal
ID,-12.1,25/05/09,07:35:48:94,Normal
Tm,24.82,25/05/09,07:35:48:94,Normal
SU,471.22,25/05/09,07:45:48:63,Normal
